Date,Observers,Time,Site-ID,SiteType,PatchType,GPS Location,,Bird Use,,Elevation(m),Snow Depth,Percent Snow Cover,WindSpeed,Comments about site,BirdID,Sex,ArgosID,BR,NB,PA,RA,Browsed Plants,,,,,,,,,,,,,,,,,,
,,,,,,,,Date Used,Time Used,,,,,,,,,,,,,Sample Type,ID (BR#),Paired With,Sample Type,Browse,,Pellets,,Volume,,,Daubenmire ,,,,,,Pic ID,Comments
,,,,,,Latitude ,Longitude,,,,,,,,,,,,,,,,,,,New Browse,Old Browse,New Pellets,Old Pellets,Height,Width1,Width2,grass,forbs ,sage,bare-ground,other_shrub,other,,
date,obs,time,site_id,site_type,patch_type,lat,long,date,time,ele,snow_depth,snow_cov,wind_speed,site_comm,bird_id,sex,argos_id,br,nb,pa,ra,sample_type,id_br,paired_with,sample,new_browse,old_browse,new_pellets,old_pellets,height,width_one,width_two,grass,forbs ,sage,bare_ground,other_shrub,other,pic_id,comm
2018-04-07,"PPW, EFT, AC",17:56:00,117903_20180407,DBV,Off lek forage,38.16866,-119.23981,2018-04-07,17:00:00,2102,0,0,6-10 ,GPS point is center of activity. Adjusted because the transmiter provided point is accurate within 26 m. it rained heavily yesterday and this afternoon,204 - Amoeba,M,117903,3,6,0,0,Tridentata sp,BR1,"NB1, NB2",BR,28,Y,N,N,68,91,81,5-25,0-5,0,75-100,0,0,2018_04_07_14,"rained this AM. This plant was next to another browsed plant, but it was less than a meter away"
2018-04-07,"PPW, EFT, AC",17:56:00,117903_20180407,DBV,Off lek forage,38.16866,-119.23981,2018-04-07,17:00:00,2102,0,0,6-10 ,GPS point is center of activity. Adjusted because the transmiter provided point is accurate within 26 m. it rained heavily yesterday and this afternoon,204 - Amoeba,M,117903,3,6,0,0,Tridentata sp,BR2,"NB3, NB4",BR,17,Y,Y,Y,32,28,13,5-25,0-5,0,75-100,0,0,2018_04_07_17,
2018-04-07,"PPW, EFT, AC",17:56:00,117903_20180407,DBV,Off lek forage,38.16866,-119.23981,2018-04-07,17:00:00,2102,0,0,6-10 ,GPS point is center of activity. Adjusted because the transmiter provided point is accurate within 26 m. it rained heavily yesterday and this afternoon,204 - Amoeba,M,117903,3,6,0,0,Tridentata sp,BR3,"NB5, NB6",BR,26,Y,N,N,43,51,50,5-25,0,0,75-100,0,0,2018_04_07_19,
2018-04-07,"PPW, EFT, AC",17:56:00,117903_20180407,DBV,Off lek forage,38.16866,-119.23981,2018-04-07,17:00:00,2102,0,0,6-10 ,GPS point is center of activity. Adjusted because the transmiter provided point is accurate within 26 m. it rained heavily yesterday and this afternoon,204 - Amoeba,M,117903,3,6,0,0,Tridentata sp,NB1,BR1,NB,0,N,N,N,70,81,98,0-5,0,25-50,75-100,0,0,2018_04_07_15,
2018-04-07,"PPW, EFT, AC",17:56:00,117903_20180407,DBV,Off lek forage,38.16866,-119.23981,2018-04-07,17:00:00,2102,0,0,6-10 ,GPS point is center of activity. Adjusted because the transmiter provided point is accurate within 26 m. it rained heavily yesterday and this afternoon,204 - Amoeba,M,117903,3,6,0,0,Tridentata sp,NB2,BR1,NB,0,N,N,N,46,76,65,5-25,0-5,0,75-100,0,0,2018_04_07_16,lots of grass growing through the plant
2018-04-07,"PPW, EFT, AC",17:56:00,117903_20180407,DBV,Off lek forage,38.16866,-119.23981,2018-04-07,17:00:00,2102,0,0,6-10 ,GPS point is center of activity. Adjusted because the transmiter provided point is accurate within 26 m. it rained heavily yesterday and this afternoon,204 - Amoeba,M,117903,3,6,0,0,Tridentata sp,NB3,BR2,NB,0,Y,N,N,125,219,178,5-25,0-5,0,75-100,0,0,2018_04_07_18,
2018-04-07,"PPW, EFT, AC",17:56:00,117903_20180407,DBV,Off lek forage,38.16866,-119.23981,2018-04-07,17:00:00,2102,0,0,6-10 ,GPS point is center of activity. Adjusted because the transmiter provided point is accurate within 26 m. it rained heavily yesterday and this afternoon,204 - Amoeba,M,117903,3,6,0,0,Tridentata sp,NB4,BR2,NB,0,N,N,N,79,67,115,5-25,0,5-25,50-75,0,0,2018_04_07_20,
